Frase,Item,Grupo
O segurança protegeu por três horas a balada.,ItemA,4
O segurança protegeu em três horas a balada.,ItemB,3
José vigiou por um dia na cabine.,ItemA,2
José vigiou em um dia na cabine.,ItemB,1
Maria pesquisou por minutos a promoção.,ItemA,1
Maria pesquisou em minutos a promoção.,ItemB,2
Ronaldo resistiu por seis horas no trânsito.,ItemA,3
Ronaldo resistiu em seis horas no trânsito.,ItemB,4
Silvia reclamou por três horas na vizinha.,ItemA,4
Silvia reclamou em três horas na vizinha.,ItemB,3
Rute conheceu por semanas o litoral.,ItemA,2
Rute conheceu em semanas o litoral.,ItemB,1
A professora explicou por minutos a tarefa. ,ItemA,1
A professora explicou em minutos a tarefa. ,ItemB,2
O monitor corrigiu por um dia os trabalhos.,ItemA,3
O monitor corrigiu em um dia os trabalhos.,ItemB,4
Jorge caminhou por seis horas no calçadão.,ItemA,4
Jorge caminhou em seis horas no calçadão.,ItemB,3
Ana reclamou por dez dias da comida.,ItemA,2
Ana reclamou em dez dias da comida.,ItemB,1
Sandra percorreu por minutos o pantanal.,ItemA,1
Sandra percorreu em minutos o pantanal.,ItemB,2
Julia investiu por um dia no negócio.,ItemA,3
Julia investiu em um dia no negócio.,ItemB,4
Gael assistiu por três horas a novela.,ItemA,4
Gael assistiu em três horas a novela.,ItemB,3
Pedro meditou por minutos no seu quarto.,ItemA,2
Pedro meditou em minutos no seu quarto.,ItemB,1
Everton procurou por um dia no seu quarto.,ItemA,1
Everton procurou em um dia no seu quarto.,ItemB,2
O Padre estudou por três dias Religião.,ItemA,3
O Padre estudou em três dias Religião.,ItemB,4
A moça garantiu por seis horas seu ingresso.,ItemC,4
A moça garantiu em seis horas seu ingresso.,ItemD,3
O arquiteto reformou por semanas o quiosque.,ItemC,2
O arquiteto reformou em semanas o quiosque.,ItemD,1
O peixe estragou por três horas no açougue.,ItemC,1
O peixe estragou em três horas no açougue.,ItemD,2
Dona Conceição confeitou por dez horas os quitutes. ,ItemC,3
Dona Conceição confeitou em dez horas os quitutes. ,ItemD,4
Ana separou por três horas os brinquedos.,ItemC,4
Ana separou em três horas os brinquedos.,ItemD,3
Catarina engoliu por minutos o macarrão.,ItemC,2
Catarina engoliu em minutos o macarrão.,ItemD,1
O carro obstruiu por três horas a passagem.,ItemC,1
O carro obstruiu em três horas a passagem.,ItemD,2
Matheus concluiu por dez horas o trabalho.,ItemC,3
Matheus concluiu em dez horas o trabalho.,ItemD,4
Carolina declamou por minutos no teatro. ,ItemC,4
Carolina declamou em minutos no teatro. ,ItemD,3
Joana demoliu por três horas o barraco.,ItemC,2
Joana demoliu em três horas o barraco.,ItemD,1
Carla encontrou por minutos o amigo. ,ItemC,1
Carla encontrou em minutos o amigo. ,ItemD,2
Francisco decidiu por três horas suas compras.,ItemC,3
Francisco decidiu em três horas suas compras.,ItemD,4
Lia terminou por dez horas o seu livro.,ItemC,4
Lia terminou em dez horas o seu livro.,ItemD,3
Bia espirrou por minutos no teatro.,ItemC,2
Bia espirrou em minutos no teatro.,ItemD,1
Luna competiu por minutos o torneio.,ItemC,1
Luna competiu em minutos o torneio.,ItemD,2
José copiou por minutos no caderno.,ItemC,3
José copiou em minutos no caderno.,ItemD,4
Fernanda brigou de faca na disputa.,ItemE,1
Matheus emprestou dinheiro pro agiota.,ItemE,1
Aime sonhou com ovelhas de noite.,ItemE,1
Pedro apostou no cavalo mais bonito.,ItemE,1
Anderson leu muito para a prova de hoje.,ItemE,1
Patricia concorreu a vaga de emprego.,ItemE,1
André foi promovido no exército ontem.,ItemE,1
Sueli caiu na rua da igreja de manhã.,ItemE,1
Fátima ganhou um premio no bingo.,ItemE,1
Juliete foi convidada para a festa.,ItemE,1
Xuxa lançou musicas novas de madrugada.,ItemE,1
Flávio fez um gol na partida de ontem.,ItemE,1
Henrique dançou muito de noite na matine.,ItemE,1
Luan jogou videogame a tarde.,ItemE,1
Luiz assistiu o filme no cinema.,ItemE,1
Augusto comprou os tênis novos da loja.,ItemE,1
Antonio escreveu um livro de poemas.,ItemE,1
Rosa chegou atrasada no trabalho.,ItemE,1
Jurema passeou a tarde no parque.,ItemE,1
Tiago assistiu as aulas do curso.,ItemE,1
Mariluce tomou a vacina de manha.,ItemE,1
Cesár bebeu muito de noite na balada.,ItemE,1
Chico traiu sua namorada de novo.,ItemE,1
Gabriela escreveu cartas para amigos.,ItemE,1
Fernando abraçou a velha de bengala.,ItemE,1
Ronivon revelou sua nova canção de amor. ,ItemE,1
Tadeu abriu um novo escritório.,ItemE,1
Vitoria atuou na peça de teatro.,ItemE,1
Amanda ganhou o campeonato de corrida.,ItemE,1
Eliezer descobriu a fofoca de Ana.,ItemE,1
Adrianne cozinhou uma receita nova.,ItemE,1
Antonia beijou seu pretendente na festa.,ItemE,1
Fernanda brigou de faca na disputa.,ItemE,2
Matheus emprestou dinheiro pro agiota.,ItemE,2
Aime sonhou com ovelhas de noite.,ItemE,2
Pedro apostou no cavalo mais bonito.,ItemE,2
Anderson leu muito para a prova de hoje.,ItemE,2
Patricia concorreu a vaga de emprego.,ItemE,2
André foi promovido no exército ontem.,ItemE,2
Sueli caiu na rua da igreja de manhã.,ItemE,2
Fátima ganhou um premio no bingo.,ItemE,2
Juliete foi convidada para a festa.,ItemE,2
Xuxa lançou musicas novas de madrugada.,ItemE,2
Flávio fez um gol na partida de ontem.,ItemE,2
Henrique dançou muito de noite na matine.,ItemE,2
Luan jogou videogame a tarde.,ItemE,2
Luiz assistiu o filme no cinema.,ItemE,2
Augusto comprou os tênis novos da loja.,ItemE,2
Antonio escreveu um livro de poemas.,ItemE,2
Rosa chegou atrasada no trabalho.,ItemE,2
Jurema passeou a tarde no parque.,ItemE,2
Tiago assistiu as aulas do curso.,ItemE,2
Mariluce tomou a vacina de manha.,ItemE,2
Cesár bebeu muito de noite na balada.,ItemE,2
Chico traiu sua namorada de novo.,ItemE,2
Gabriela escreveu cartas para amigos.,ItemE,2
Fernando abraçou a velha de bengala.,ItemE,2
Ronivon revelou sua nova canção de amor. ,ItemE,2
Tadeu abriu um novo escritório.,ItemE,2
Vitoria atuou na peça de teatro.,ItemE,2
Amanda ganhou o campeonato de corrida.,ItemE,2
Eliezer descobriu a fofoca de Ana.,ItemE,2
Adrianne cozinhou uma receita nova.,ItemE,2
Antonia beijou seu pretendente na festa.,ItemE,2
Fernanda brigou de faca na disputa.,ItemE,3
Matheus emprestou dinheiro pro agiota.,ItemE,3
Aime sonhou com ovelhas de noite.,ItemE,3
Pedro apostou no cavalo mais bonito.,ItemE,3
Anderson leu muito para a prova de hoje.,ItemE,3
Patricia concorreu a vaga de emprego.,ItemE,3
André foi promovido no exército ontem.,ItemE,3
Sueli caiu na rua da igreja de manhã.,ItemE,3
Fátima ganhou um premio no bingo.,ItemE,3
Juliete foi convidada para a festa.,ItemE,3
Xuxa lançou musicas novas de madrugada.,ItemE,3
Flávio fez um gol na partida de ontem.,ItemE,3
Henrique dançou muito de noite na matine.,ItemE,3
Luan jogou videogame a tarde.,ItemE,3
Luiz assistiu o filme no cinema.,ItemE,3
Augusto comprou os tênis novos da loja.,ItemE,3
Antonio escreveu um livro de poemas.,ItemE,3
Rosa chegou atrasada no trabalho.,ItemE,3
Jurema passeou a tarde no parque.,ItemE,3
Tiago assistiu as aulas do curso.,ItemE,3
Mariluce tomou a vacina de manha.,ItemE,3
Cesár bebeu muito de noite na balada.,ItemE,3
Chico traiu sua namorada de novo.,ItemE,3
Gabriela escreveu cartas para amigos.,ItemE,3
Fernando abraçou a velha de bengala.,ItemE,3
Ronivon revelou sua nova canção de amor. ,ItemE,3
Tadeu abriu um novo escritório.,ItemE,3
Vitoria atuou na peça de teatro.,ItemE,3
Amanda ganhou o campeonato de corrida.,ItemE,3
Eliezer descobriu a fofoca de Ana.,ItemE,3
Adrianne cozinhou uma receita nova.,ItemE,3
Antonia beijou seu pretendente na festa.,ItemE,3
Fernanda brigou de faca na disputa.,ItemE,4
Matheus emprestou dinheiro pro agiota.,ItemE,4
Aime sonhou com ovelhas de noite.,ItemE,4
Pedro apostou no cavalo mais bonito.,ItemE,4
Anderson leu muito para a prova de hoje.,ItemE,4
Patricia concorreu a vaga de emprego.,ItemE,4
André foi promovido no exército ontem.,ItemE,4
Sueli caiu na rua da igreja de manhã.,ItemE,4
Fátima ganhou um premio no bingo.,ItemE,4
Juliete foi convidada para a festa.,ItemE,4
Xuxa lançou musicas novas de madrugada.,ItemE,4
Flávio fez um gol na partida de ontem.,ItemE,4
Henrique dançou muito de noite na matine.,ItemE,4
Luan jogou videogame a tarde.,ItemE,4
Luiz assistiu o filme no cinema.,ItemE,4
Augusto comprou os tênis novos da loja.,ItemE,4
Antonio escreveu um livro de poemas.,ItemE,4
Rosa chegou atrasada no trabalho.,ItemE,4
Jurema passeou a tarde no parque.,ItemE,4
Tiago assistiu as aulas do curso.,ItemE,4
Mariluce tomou a vacina de manha.,ItemE,4
Cesár bebeu muito de noite na balada.,ItemE,4
Chico traiu sua namorada de novo.,ItemE,4
Gabriela escreveu cartas para amigos.,ItemE,4
Fernando abraçou a velha de bengala.,ItemE,4
Ronivon revelou sua nova canção de amor. ,ItemE,4
Tadeu abriu um novo escritório.,ItemE,4
Vitoria atuou na peça de teatro.,ItemE,4
Amanda ganhou o campeonato de corrida.,ItemE,4
Eliezer descobriu a fofoca de Ana.,ItemE,4
Adrianne cozinhou uma receita nova.,ItemE,4
Antonia beijou seu pretendente na festa.,ItemE,4